PlaceFIPS,TractFIPS,Place_TractID,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev
3651000,36047012801,3651000-36047012801,11.8,39.2,16.5
3651000,36047012901,3651000-36047012901,5.8,26.2,19.1
3651000,36047012902,3651000-36047012902,5.6,26.5,18.5
3651000,36047013000,3651000-36047013000,9.8,35.8,21.3
3651000,36047013100,3651000-36047013100,5.7,26.3,18.7
3651000,36047013200,3651000-36047013200,9.8,36.7,18.2
3651000,36047013300,3651000-36047013300,4.6,25.8,16.4
3651000,36047013400,3651000-36047013400,8.6,35.1,19.8
3651000,36047013500,3651000-36047013500,4.4,25.1,16.6
3651000,36047013600,3651000-36047013600,7.1,32.4,18.3
3651000,36047013700,3651000-36047013700,6.8,29.8,19.5
3651000,36047013800,3651000-36047013800,9.0,35.8,20.0
3651000,36047013900,3651000-36047013900,6.1,28.6,18.4
3651000,36047014000,3651000-36047014000,9.2,37.5,20.3
3651000,36047014100,3651000-36047014100,4.9,25.6,17.2
3651000,36047014200,3651000-36047014200,8.0,34.2,19.1
3651000,36047014300,3651000-36047014300,6.0,26.8,19.2
3651000,36047014500,3651000-36047014500,6.0,26.5,19.8
3651000,36047014700,3651000-36047014700,5.7,26.4,19.2
3651000,36047014800,3651000-36047014800,9.7,39.3,19.7
3651000,36047014900,3651000-36047014900,4.9,25.9,17.4
3651000,36047015000,3651000-36047015000,8.7,37.9,17.9
3651000,36047015100,3651000-36047015100,5.2,28.2,17.3
3651000,36047015200,3651000-36047015200,9.0,36.6,18.2
3651000,36047015300,3651000-36047015300,5.5,28.5,16.3
3651000,36047015500,3651000-36047015500,4.9,28.4,16.1
3651000,36047015700,3651000-36047015700,5.0,28.5,16.1
3651000,36047015900,3651000-36047015900,5.2,28.7,16.5
3651000,36047016000,3651000-36047016000,7.9,32.7,19.4
3651000,36047016100,3651000-36047016100,5.2,25.9,17.8
3651000,36047016200,3651000-36047016200,7.4,33.5,18.2
3651000,36047016300,3651000-36047016300,6.6,27.6,19.9
3651000,36047016400,3651000-36047016400,4.9,23.0,20.6
